Country	pop50	Latitude	Longitude	y	Abslat	Port	Spanish	French	Brit	WarDummy	LatAmerica	SubSahara	OutwarOr	OECD	Area	PrScEnroll	LifeExp	GDP60	Mining	EcoOrg	YrsOpen	Age	Buddha	Catholic	Confucian	EthnoL	Hindu	Jewish	Muslim	PrExports	Protestants	RuleofLaw	Popg	WorkPop	LabForce	HighEnroll	PublEdupct	RevnCoup	PolRights	CivlLib	English	Foreign	RFEXDist	EquipInv	NequipInv	stdBMP	BlMktPm
Algeria	8892.718	36.7630556	3.0505556	0.01369	36.72	1	0	1	0	0	0	0	1	0	2382	0.46	47.3	7.439	0.196	0	0	84	0	0	0	0.43	0	0.005	0.99	0.933	0.005	0.33333	0.028417	-1.3303	2855.52	0.003	0.0297	0.123	5.8333	5.8889	0	0.836	190	0.0507	0.1907	186.5555	0.131
Argentina	17150.336	-58.37	-34.61	0.006421	36.676	1	1	0	0	1	1	0	0	0	2767	0.98	65.2	8.0999	0.023	5	0.089	0	0	0.9	0	0.31	0	0.02	0	0.861	0.02	0.33333	0.015255	-0.93293	8110.334	0.109	0.0223	0.96	3.9444	3.5556	0	0.836	113	0.016	0.12	66.8497	0.16
Australia	8218.997	149.133	-35.3	0.018897	32.219	1	0	0	1	0	0	0	0	1	7687	1	70.7	8.9721	0.038	5	0.689	0	0	0.26	0	0.32	0	0	0	0.811	0.5	1	0.016453	-0.9019	4185.8271	0.131	0.0217	0	1	1	0.95	0	129	0.095	0.221	0.001	0
Austria	767.838	16.367	48.217	0.029221	48.231	0	0	0	0	0	0	0	0	1	84	1	68.8	8.5471	0.004	4	0.778	0	0	0.85	0	0.13	0	0	0	0.198	0.06	1	0.002369	-0.73355	3384.449	0.08	0.0248	0	1	1	0	0.98	100	0.10059	0.13391	0.001	0
Belgium	8639	4.35	50.833	0.028571	50.837	1	0	0	0	0	0	0	1	1	31	1	69.7	8.6223	0	5	0.778	88	0	0.75	0	0.55	0	0	0	0.238	0.13	1	0.002494	-0.95399	3525.736	0.09	0.0463	0	1	1	0	0.345	100	0.06348	0.17082	0.001	0
Bolivia	2766.028	-68.167	-16.5	0.012652	15.19	0	1	0	0	0	1	0	0	0	1099	0.64	42.8	7.0058	0.075	3	0.733	0	0	0.95	0	0.68	0	0	0	0.969	0.03	0.16667	0.025138	-1.0631	1184.031	0.036	0.0158	1.19	4.1111	3.6667	0	0.372	181	0.014	0.1195	236.0656	0.03
Botswana	430.413	-24.6463889	25.9119444	0.056195	21.536	0	0	0	1	0	0	1	0	0	582	0.42	45.7	6.2841	0.533	5	0.356	0	0	0.25	0	0.51	0	0	0	0.75	0.25	0.83333	0.03315	-0.82439	210.9185	0	0.03	0	2.0556	3	0	0	131	0.1309	0.153	23.3885	0.072
Brazil	53443.075	-47.91	-15.78	0.024047	19.557	1	0	0	0	0	1	0	0	0	8512	0.95	54.9	7.4645	0.017	3	0.089	0	0	0.9	0	0.07	0	0	0	0.858	0	0.66667	0.024529	-1.1348	23338.97	0.016	0.0041	0.12	3.3889	3.3889	0	0.998	97	0.0646	0.1644	15.5766	0.24
Cameroon	4887.591	3.8666667	11.5166667	0.012239	10.73	1	0	1	0	0	0	1	1	0	475	0.65	43.4	6.5468	0.088	5	0.156	0	0	0.16	0	0.89	0	0	0.16	0.915	0.17	0.5	0.026343	-0.71662	2587.055	0.002	0.0221	0.08	6.0556	5.5556	0	0.007	187	0.004	0.125	4.4726	0.05
Canada	13737	-75.71	45.42	0.02586	43.727	1	0	0	1	0	0	0	1	1	9976	1	71.1	8.894	0.034	5	0.956	0	0	0.46	0	0.75	0	0	0	0.488	0.26	1	0.013423	-0.98698	6674.685	0.16	0.0365	0	1	1	0.614	0.243	83	0.08605	0.14745	0.001	0
Chile	6090.833	-70.64	-33.46	0.013871	33.554	1	1	0	0	1	1	0	0	0	757	1	57.3	7.9718	0.155	5	0.422	0	0	0.89	0	0.14	0	0	0	0.956	0.11	0.83333	0.018302	-1.1215	2480.6411	0.042	0.0262	0.2	5.7778	4.6667	0	0.931	100	0.0152	0.13	331.3571	0.54
Colombia	11591.658	-74.09	4.63	0.021168	4.788	1	1	0	0	1	1	0	0	0	1139	0.77	53.2	7.4128	0.062	3	0.089	0	0	0.95	0	0.06	0	0	0	0.919	0	0.33333	0.02444	-1.1953	4823.1411	0.017	0.023	0	2.1111	2.8889	0	0.98	81	0.016	0.1644	14.6629	0.184
Congo	767.838	15.233	-4.233	0.022322	3.684	1	0	1	0	0	0	1	1	0	342	0.78	47.3	6.9689	0.168	1	0	0	0	0.25	0	0.66	0	0	0.02	0.71	0.25	0.33333	0.027473	-0.77414	455.5668	0.005	0.0311	0.36	6.5556	6.1667	0	0	191	0.0498	0.2384	4.4767	0.05
CostaRica	866.982	-84.067	9.983	0.019617	9.941	1	1	0	0	0	1	0	0	0	51	0.96	61.9	7.6074	0.035	3	0.422	76	0	0.95	0	0.07	0	0	0	0.803	0	0.66667	0.030175	-1.1967	373.5192	0.049	0.035	0	1	1	0.016	0.891	91	0.031	0.1161	15.9528	0.221
